,Words,Type
0,punting,verb
1,##,##
2,crowd,noun
3,##,##
4,secret,adjective
5,fumble,verb
6,pond,noun
7,##,##
8,health,noun
9,##,##
10,pardon,noun
11,shake,verb
12,kiddo,noun
13,proof,noun
14,##,##
15,gorp,noun
16,town,noun
17,##,##
18,bingo,noun
19,##,##
20,clever,adjective
21,##,##
22,inside,adjective
23,reply,verb
24,frozen,adjective
25,special,adjective
26,film,verb
27,results,plural
28,soda,noun
29,##,##
30,seal,noun
31,##,##
32,##,##
33,##,##
34,twirled,verb
35,disembark,verb
36,admit,verb
37,grown-ups,plural
38,##,##
39,pieces,plural
40,brass,noun
41,##,##
42,onshore,adverb
43,stunts,plural
44,deny,verb
45,jolly,adjective
46,powder,noun
47,earthquake,noun
48,##,##
49,walnut,noun
50,sawdust,noun
51,##,##
52,flustered,verb
53,barber,noun
54,##,##
55,chimes,verb
56,cabin,noun
57,faint,adjective
58,##,##
59,manger,noun
60,peppermint,noun
61,##,##
62,broth,noun
63,ash,noun
64,##,##
65,flame,noun
66,grits,plural
67,##,##
68,cliff,noun
69,hem,noun
70,##,##
71,candles,plural
72,##,##
73,brim,noun
74,plot,verb
75,desk,noun
76,##,##
77,bobcat,noun
78,polo,noun
79,##,##
80,##,##
81,roller,noun
82,##,##
83,##,##
84,stark,adjective
85,drum,noun
86,##,##
87,##,##
88,snarl,noun
89,##,##
90,argue,verb
91,##,##
92,loppers,plural
93,petal,noun
94,##,##
95,giant,adjective
96,sniffle,verb
97,##,##
98,mouth,noun
99,filters,plural
100,##,##
101,##,##
102,cone,noun
103,never,adverb
104,silly,adjective
105,Monday,noun
106,grub,noun
107,hook,noun
108,##,##
109,number,noun
110,cooking,verb
111,amazed,adjective
112,collect,verb
113,local,adjective
114,proper,adjective
115,basement,noun
116,##,##
117,ripple,verb
118,##,##
119,feats,plural
120,plumbing,noun
121,##,##
122,stubborn,adjective
123,adrift,adverb
124,sweeten,verb
125,neon,adjective
126,beeswax,noun
127,social,adjective
128,behold,verb
129,##,##
130,mix,verb
131,drool,noun
132,understand,verb
133,brought,verb
134,sound,noun
135,benches,plural
136,shrugged,verb
137,still,adjective
138,pranks,plural
139,smiled,verb
140,peach,noun
141,##,##
142,pie,noun
143,##,##
144,size,noun
145,hall,noun
146,jangled,verb
147,chain,noun
148,##,##
149,workhorse,noun
150,antennas,plural
151,##,##
152,honest,adjective
153,holler,verb
154,billboard,noun
155,##,##
156,chicken,noun
157,puppets,plural
158,##,##
159,waited,verb
160,finish,verb
161,cheer,verb
162,twisty,adjective
163,chips,plural
164,scoop,noun
165,##,##
166,rover,noun
167,forgive,verb
168,ribbon,noun
169,##,##
170,##,##
171,shoo,interjection
172,greedy,adjective
173,##,##
174,beam,noun
175,##,##
176,crew,noun
177,crate,noun
178,hotel,noun
179,stray,noun
180,##,##
181,gallop,noun
182,dinosaur,noun
183,ancient,adjective
184,tapestry,noun
185,delivery,noun
186,attagirl,interjection
187,salamanders,plural
188,##,##
189,##,##
190,##,##
191,usual,adjective
192,challenge,noun
193,cahoots,plural
194,oozing,verb
195,Mars,noun
196,##,##
197,pelican,noun
198,##,##
199,drastic,adjective
200,yoga,noun
201,##,##
202,burlap,noun
203,##,##
204,blazer,noun
205,##,##
206,trombone,noun
207,##,##
208,trembling,verb
209,calmed,verb
210,##,##
211,police,noun
212,##,##
213,##,##
214,certain,adjective
215,barograph,noun
216,##,##
217,charred,verb
218,Pakistan,geographical
219,##,##
220,pressure,noun
221,surmised,verb
222,##,##
223,teak,noun
224,##,##
225,##,##
226,transit,noun
227,##,##
228,cannonade,noun
229,appetite,noun
230,luggage,noun
231,##,##
232,ramparts,plural
233,vinyl,noun
234,##,##
235,##,##
236,anemometers,plural
237,dainty,adjective
238,buckle,verb
239,##,##
240,vividly,adverb
241,briny,adjective
242,pavement,noun
243,garnet,noun
244,##,##
245,furrow,verb
246,sprawl,verb
247,museum,noun
248,##,##
249,wren,noun
250,legend,noun
251,##,##
252,transistor,noun
253,##,##
254,##,##
255,amplify,verb
256,##,##
257,security,noun
258,refrain,noun
259,tactics,plural
260,shepherd,noun
261,Angus,noun
262,##,##
263,mulish,adjective
264,rivalry,noun
265,siblings,plural
266,chestnut,noun
267,##,##
268,##,##
269,minivan,noun
270,##,##
271,plaid,adjective
272,tissue,noun
273,##,##
274,##,##
275,scoundrel,noun
276,amino,adjective
277,##,##
278,menthol,noun
279,##,##
280,Tabasco,trademark
281,obvious,adjective
282,pulse,noun
283,##,##
284,##,##
285,cottage,noun
286,garland,noun
287,##,##
288,gnaw,verb
289,comfort,noun
290,caroling,verb
291,&&OR carolling,verb
292,foolishness,noun
293,constellation,noun
294,sundering,verb
295,juncture,noun
296,exploits,verb
297,rabble-rouser,noun
298,##,##
299,profound,adjective
300,wreath,noun
301,##,##
302,profile,noun
303,untoward,adjective
304,memorial,adjective
305,industrial,adjective
306,barrier,noun
307,gratingly,adverb
308,brayed,verb
309,Harlem,geographical
310,##,##
311,messenger,noun
312,beacons,plural
313,generation,noun
314,coverage,noun
315,deters,verb
316,Nepal,geographical
317,##,##
318,disinfectant,noun
319,campaign,noun
320,##,##
321,starvation,noun
322,gamma,noun
323,spleen,noun
324,##,##
325,##,##
326,utensils,plural
327,depot,noun
328,incident,noun
329,brambles,plural
330,trifecta,noun
331,##,##
332,shingle,noun
333,##,##
334,mason,noun
335,avoid,verb
336,static,adjective
337,samples,plural
338,modern,adjective
339,chalk,noun
340,##,##
341,concentrate,verb
342,proud,adjective
343,expiration,noun
344,batteries,plural
345,centuries,plural
346,differed,verb
347,fearsome,adjective
348,fiercest,adjective
349,residence,noun
350,abated,verb
351,scattering,verb
352,toppled,verb
353,vane,noun
354,vortices,plural
355,turbulent,adjective
356,obstacles,plural
357,continental,adjective
358,##,##
359,deportment,noun
360,exhibits,plural
361,agricultural,adjective
362,##,##
363,momentous,adjective
364,disturbance,noun
365,wily,adjective
366,rookie,noun
367,transparencies,plural
368,##,##
369,##,##
370,hazmat,noun
371,##,##
372,Antarctic,adjective
373,perfume,noun
374,##,##
375,plaiting,noun
376,writers,plural
377,##,##
378,series,noun
379,##,##
380,audience,noun
381,##,##
382,insubstantial,adjective
383,staggered,verb
384,assistance,noun
385,sanitized,verb
386,diminished,verb
387,organist,noun
388,##,##
389,operator,noun
390,Louisiana,geographical
391,##,##
392,perpetual,adjective
393,blustery,adjective
394,molars,plural
395,##,##
396,arrange,verb
397,dissolved,verb
398,##,##
399,extremely,adverb
400,plastic,noun
401,##,##
402,##,##
403,multiplication,noun
404,##,##
405,middle,noun
406,reasonable,adjective
407,closet,noun
408,investigation,noun
409,accident,noun
410,discussion,noun
411,confused,verb
412,microwave,verb
413,##,##
414,gabled,adjective
415,settle,verb
416,somber,adjective
417,&&OR sombre,adjective
418,tampered,verb
419,loyal,adjective
420,remarkable,adjective
421,joists,plural
422,##,##
423,scrambling,verb
424,inspector,noun
425,distressed,adjective
426,smudge,noun
427,throttle,verb
428,perfection,noun
429,capable,adjective
430,##,##
431,gadgets,plural
432,##,##
433,channel,noun
434,##,##
435,chisel,noun
436,##,##
437,chimney,noun
438,##,##
439,minnow,noun
440,##,##
441,domain,noun
442,##,##
443,##,##
444,shuffle,verb
445,carpenter,noun
446,pruners,plural
447,##,##
448,parcel,noun
449,squawk,verb
450,Sheetrock,trademark
451,##,##
452,trowel,noun
453,##,##
454,nervous,adjective
455,spirit,noun
456,equator,noun
457,##,##
458,evidence,noun
459,##,##
460,solar,adjective
461,explore,verb
462,distance,noun
463,fault,noun
464,colonists,plural
465,prudence,noun
466,assembly,noun
467,##,##
468,sheriff,noun
469,##,##
470,tarry,verb
471,entity,noun
472,##,##
473,archives,plural
474,commotion,noun
475,vacancy,noun
476,beatboxing,noun
477,mutate,verb
478,commonplace,noun
479,gingerbread,noun
480,##,##
481,dispute,verb
482,episode,noun
483,confection,noun
484,autographs,plural
485,petite,adjective
486,station,noun
487,lacrosse,noun
488,##,##
489,##,##
490,McIntosh,noun
491,ignoble,adjective
492,diaphoresis,noun
493,kurta,noun
494,Hyperion,noun
495,withers,plural
496,Geiger,noun
497,##,##
498,thermohaline,adjective
499,##,##
500,gannet,noun
501,palladium,noun
502,brevet,noun
503,##,##
504,pamphlet,noun
505,palindrome,noun
506,visite,noun
507,satsuma,noun
508,stirrups,plural
509,##,##
510,Connemara,geographical
511,##,##
512,abundance,noun
513,calamitous,adjective
514,dropsonde,noun
515,##,##
516,proclamation,noun
517,hokum,noun
518,colossal,adjective
519,coltan,noun
520,squadron,noun
521,marinate,verb
522,##,##
523,anagrams,plural
524,##,##
525,verandas,plural
526,&&OR verandahs,plural
527,Himalayan,noun
528,hunky-dory,adjective
529,aspersions,plural
530,culminate,verb
531,helium,noun
532,##,##
533,steeplechasing,noun
534,Teflon,trademark
535,##,##
536,bantam,adjective
537,apprentice,noun
538,reluctant,adjective
539,heritage,noun
540,sojourner,noun
541,derogatory,adjective
542,palsy,noun
543,Lascaux,geographical
544,##,##
545,synesthesia,noun
546,&&OR synaesthesia,noun
547,nefarious,adjective
548,halogens,plural
549,##,##
550,gallium,noun
551,##,##
552,##,##
553,smelters,plural
554,##,##
555,hymnal,noun
556,##,##
557,tartaric,adjective
558,##,##
559,bindi,noun
560,##,##
561,Haitian,adjective
562,divan,noun
563,##,##
564,badminton,noun
565,##,##
566,bayonet,noun
567,##,##
568,currycomb,noun
569,##,##
570,haughty,adjective
571,hesitate,verb
572,opportunity,noun
573,##,##
574,Apollo,noun
575,accordance,noun
576,atmospheric,adjective
577,levees,plural
578,precariously,adverb
579,proportionate,adjective
580,suffused,verb
581,accelerates,verb
582,coincidence,noun
583,##,##
584,prestigious,adjective
585,emphatic,adjective
586,contaminated,verb
587,##,##
588,Madagascar,geographical
589,##,##
590,##,##
591,exposure,noun
592,parachuted,verb
593,##,##
594,periodically,adverb
595,intriguing,adjective
596,absorptive,adjective
597,incomprehensible,adjective
598,Merrimack,geographical
599,##,##
600,Sinai,geographical
601,##,##
602,misdemeanor,noun
603,##,##
604,misdemeanour,noun
605,asparagus,noun
606,solace,verb
607,argyria,noun
608,##,##
609,guanine,noun
610,##,##
611,##,##
612,xylyl,noun
613,##,##
614,therapeutic,adjective
615,##,##
616,tumultuous,adjective
617,##,##
618,commodore,noun
619,##,##
620,playwright,noun
621,##,##
622,##,##
623,senile,adjective
624,laryngitis,noun
625,proximo,adjective
626,**guerrilla,noun
627,&&OR guerilla,noun
628,Giza,geographical
629,##,##
630,fixity,noun
631,##,##
632,jodhpurs,plural
633,##,##
634,hydrargyrum,noun
635,carborane,noun
636,##,##
637,denouncement,noun
638,##,##
639,Columbia,noun
