Index,Words
0,"[Synset('punt.n.03'), Synset('punt.v.01'), Synset('punt.v.02'), Synset('bet_on.v.01')]"
1,"[Synset('crowd.n.01'), Synset('crowd.n.02'), Synset('herd.v.01'), Synset('crowd.v.02'), Synset('crowd.v.03'), Synset('push.v.06')]"
2,"[Synset('secret.n.01'), Synset('secret.n.02'), Synset('mystery.n.01'), Synset('secret.s.01'), Synset('clandestine.s.01'), Synset('unavowed.s.03'), Synset('secret.s.04'), Synset('secret.s.05'), Synset('hidden.s.02'), Synset('privy.s.01'), Synset('confidential.s.02'), Synset('secret.s.09'), Synset('mysterious.s.02'), Synset('secret.s.11')]"
3,"[Synset('fumble.n.01'), Synset('grope.v.01'), Synset('fumble.v.02'), Synset('fumble.v.03'), Synset('botch.v.01'), Synset('fumble.v.05')]"
4,[Synset('pond.n.01')]
5,"[Synset('health.n.01'), Synset('health.n.02')]"
6,"[Synset('forgiveness.n.02'), Synset('pardon.n.02'), Synset('amnesty.n.03'), Synset('excuse.v.01'), Synset('pardon.v.02')]"
7,"[Synset('shingle.n.01'), Synset('milkshake.n.01'), Synset('trill.n.01'), Synset('handshake.n.01'), Synset('tremble.n.01'), Synset('wag.n.02'), Synset('shake.v.01'), Synset('shake.v.02'), Synset('judder.v.01'), Synset('rock.v.01'), Synset('shake.v.05'), Synset('stimulate.v.03'), Synset('shake.v.07'), Synset('shake.v.08'), Synset('shake.v.09')]"
8,[]
9,"[Synset('proof.n.01'), Synset('proof.n.02'), Synset('proof.n.03'), Synset('proof.n.04'), Synset('proof.n.05'), Synset('validation.n.01'), Synset('proof.v.01'), Synset('proof.v.02'), Synset('proofread.v.01'), Synset('proof.v.04'), Synset('proof.v.05'), Synset('proof.s.01')]"
10,[]
11,"[Synset('town.n.01'), Synset('town.n.02'), Synset('township.n.01'), Synset('town.n.04')]"
12,[Synset('lotto.n.01')]
13,"[Synset('cagey.s.01'), Synset('apt.s.03'), Synset('clever.s.03')]"
14,"[Synset('inside.n.01'), Synset('inside.n.02'), Synset('inside.a.01'), Synset('inside.s.02'), Synset('inside.s.03'), Synset('inside.s.04'), Synset('inside.r.01'), Synset('inside.r.02'), Synset('inwardly.r.01'), Synset('at_heart.r.01')]"
15,"[Synset('answer.n.01'), Synset('reply.n.02'), Synset('answer.v.01')]"
16,"[Synset('freeze.v.01'), Synset('freeze.v.02'), Synset('freeze.v.03'), Synset('freeze.v.04'), Synset('freeze.v.05'), Synset('freeze.v.06'), Synset('freeze.v.07'), Synset('freeze.v.08'), Synset('freeze.v.09'), Synset('freeze.v.10'), Synset('frozen.a.01'), Synset('frozen.s.02'), Synset('frigid.s.03'), Synset('frozen.s.04'), Synset('flash-frozen.s.01'), Synset('frozen.s.06'), Synset('fixed.s.04')]"
17,"[Synset('special.n.01'), Synset('special.n.02'), Synset('special.n.03'), Synset('particular.s.01'), Synset('special.s.02'), Synset('especial.s.01'), Synset('special.s.04'), Synset('limited.s.06'), Synset('particular.s.04'), Synset('extra.s.02')]"
18,"[Synset('movie.n.01'), Synset('film.n.02'), Synset('film.n.03'), Synset('film.n.04'), Synset('film.n.05'), Synset('film.v.01'), Synset('film.v.02')]"
19,"[Synset('consequence.n.01'), Synset('solution.n.02'), Synset('result.n.03'), Synset('resultant_role.n.01'), Synset('result.v.01'), Synset('leave.v.07'), Synset('result.v.03')]"
20,"[Synset('sodium_carbonate.n.01'), Synset('pop.n.02')]"
21,"[Synset('sealing_wax.n.01'), Synset('seal.n.02'), Synset('seal.n.03'), Synset('navy_seal.n.01'), Synset('seal.n.05'), Synset('cachet.n.01'), Synset('seal.n.07'), Synset('seal.n.08'), Synset('seal.n.09'), Synset('seal.v.01'), Synset('seal.v.02'), Synset('seal.v.03'), Synset('seal.v.04'), Synset('varnish.v.01'), Synset('seal.v.06')]"
22,"[Synset('twirl.v.01'), Synset('whirl.v.02')]"
23,[Synset('disembark.v.01')]
24,"[Synset('admit.v.01'), Synset('admit.v.02'), Synset('admit.v.03'), Synset('accept.v.05'), Synset('admit.v.05'), Synset('admit.v.06'), Synset('accommodate.v.04'), Synset('admit.v.08')]"
25,[]
26,"[Synset('piece.n.01'), Synset('piece.n.02'), Synset('part.n.03'), Synset('musical_composition.n.01'), Synset('piece.n.05'), Synset('piece.n.06'), Synset('firearm.n.01'), Synset('piece.n.08'), Synset('piece.n.09'), Synset('objet_d'art.n.01'), Synset('while.n.01'), Synset('slice.n.01'), Synset('man.n.10'), Synset('patch.v.01'), Synset('assemble.v.01'), Synset('piece.v.03'), Synset('nibble.v.03'), Synset('piece.v.05')]"
27,"[Synset('brass.n.01'), Synset('brass.n.02'), Synset('administration.n.02'), Synset('boldness.n.02'), Synset('brass.n.05'), Synset('brass_section.n.01'), Synset('brass.n.07')]"
28,"[Synset('inshore.a.01'), Synset('onshore.s.02'), Synset('onshore.r.01')]"
29,"[Synset('stunt.n.01'), Synset('stunt.n.02'), Synset('stunt.v.01'), Synset('stunt.v.02')]"
30,"[Synset('deny.v.01'), Synset('deny.v.02'), Synset('deny.v.03'), Synset('deny.v.04'), Synset('deny.v.05'), Synset('traverse.v.03'), Synset('deny.v.07')]"
31,"[Synset('jolly.n.01'), Synset('jolly_boat.n.01'), Synset('kid.v.02'), Synset('gay.s.02'), Synset('reasonably.r.01')]"
32,"[Synset('powder.n.01'), Synset('gunpowder.n.01'), Synset('powder.n.03'), Synset('powderize.v.02'), Synset('powder.v.02')]"
33,"[Synset('earthquake.n.01'), Synset('earthquake.n.02')]"
34,"[Synset('walnut.n.01'), Synset('walnut.n.02'), Synset('walnut.n.03')]"
35,[Synset('sawdust.n.01')]
36,"[Synset('fluster.v.01'), Synset('fluster.v.02'), Synset('flustered.s.01')]"
37,"[Synset('barber.n.01'), Synset('barber.n.02'), Synset('barber.v.01')]"
38,"[Synset('chime.n.01'), Synset('chime.v.01')]"
39,"[Synset('cabin.n.01'), Synset('cabin.n.02'), Synset('cabin.n.03'), Synset('cabin.v.01')]"
40,"[Synset('faint.n.01'), Synset('faint.v.01'), Synset('faint.s.01'), Synset('dim.s.02'), Synset('faint.s.03'), Synset('faint.s.04'), Synset('faint.s.05'), Synset('faint.s.06')]"
41,[Synset('manger.n.01')]
42,"[Synset('peppermint.n.01'), Synset('red_gum.n.03'), Synset('peppermint.n.03')]"
43,"[Synset('broth.n.01'), Synset('broth.n.02')]"
44,"[Synset('ash.n.01'), Synset('ash.n.02'), Synset('ash.n.03'), Synset('ash.v.01')]"
45,"[Synset('fire.n.03'), Synset('flare.v.03'), Synset('flame.v.02'), Synset('flame.v.03')]"
46,"[Synset('grits.n.01'), Synset('grit.n.01'), Synset('backbone.n.02'), Synset('grit.v.01'), Synset('grit.v.02')]"
47,[Synset('cliff.n.01')]
48,"[Synset('hem.n.01'), Synset('hem.n.02'), Synset('hem.v.01'), Synset('hem.v.02')]"
49,"[Synset('candle.n.01'), Synset('candle.n.02'), Synset('candle.v.01')]"
50,"[Synset('brim.n.01'), Synset('brim.n.02'), Synset('brim.v.01'), Synset('brim.v.02')]"
51,"[Synset('plot.n.01'), Synset('plot.n.02'), Synset('plot.n.03'), Synset('plot.n.04'), Synset('plot.v.01'), Synset('diagram.v.01'), Synset('plat.v.01'), Synset('plot.v.04')]"
52,[Synset('desk.n.01')]
53,[Synset('bobcat.n.01')]
54,"[Synset('polo.n.01'), Synset('polo.n.02')]"
55,"[Synset('roller.n.01'), Synset('roller.n.02'), Synset('roller.n.03'), Synset('roller.n.04'), Synset('curler.n.01'), Synset('roller.n.06'), Synset('roller.n.07')]"
56,"[Synset('blunt.s.04'), Synset('austere.s.01'), Synset('stark.s.03'), Synset('arrant.s.01'), Synset('bare.s.08'), Synset('stark.r.01')]"
57,"[Synset('drum.n.01'), Synset('drum.n.02'), Synset('barrel.n.03'), Synset('drum.n.04'), Synset('brake_drum.n.01'), Synset('drum.n.06'), Synset('drum.v.01'), Synset('drum.v.02'), Synset('cram.v.03')]"
58,"[Synset('snarl.n.01'), Synset('snarl.n.02'), Synset('tangle.n.02'), Synset('snap.v.01'), Synset('snarl.v.02'), Synset('entangle.v.02'), Synset('snarl.v.04')]"
59,"[Synset('argue.v.01'), Synset('argue.v.02'), Synset('argue.v.03')]"
60,[Synset('pruner.n.02')]
61,[Synset('petal.n.01')]
62,"[Synset('giant.n.01'), Synset('colossus.n.02'), Synset('giant.n.03'), Synset('giant.n.04'), Synset('giant.n.05'), Synset('giant.n.06'), Synset('giant_star.n.01'), Synset('elephantine.s.01')]"
63,"[Synset('snuffle.n.01'), Synset('snivel.v.03'), Synset('sniff.v.02')]"
64,"[Synset('mouth.n.01'), Synset('mouth.n.02'), Synset('mouth.n.03'), Synset('mouth.n.04'), Synset('mouth.n.05'), Synset('mouthpiece.n.03'), Synset('sass.n.01'), Synset('mouth.n.08'), Synset('talk.v.02'), Synset('mouth.v.02'), Synset('mouth.v.03')]"
65,"[Synset('filter.n.01'), Synset('filter.n.02'), Synset('filter.v.01'), Synset('percolate.v.05'), Synset('trickle.v.01')]"
66,"[Synset('cone.n.01'), Synset('cone.n.02'), Synset('cone.n.03'), Synset('cone.n.04'), Synset('cone.v.01')]"
67,"[Synset('never.r.01'), Synset('never.r.02')]"
68,"[Synset('silly.n.01'), Synset('cockamamie.s.01'), Synset('airheaded.s.01'), Synset('pathetic.s.03'), Synset('punch-drunk.s.01')]"
69,[Synset('monday.n.01')]
70,"[Synset('chow.n.02'), Synset('grub.n.02'), Synset('mooch.v.01'), Synset('grub.v.02')]"
71,"[Synset('hook.n.01'), Synset('hook.n.02'), Synset('bait.n.01'), Synset('hook.n.04'), Synset('hook.n.05'), Synset('hook.n.06'), Synset('hook.n.07'), Synset('hook_shot.n.01'), Synset('hook.v.01'), Synset('overcharge.v.01'), Synset('crochet.v.02'), Synset('hook.v.04'), Synset('hook.v.05'), Synset('pilfer.v.01'), Synset('hook.v.07'), Synset('hook.v.08'), Synset('addict.v.01'), Synset('hook.v.10'), Synset('hook.v.11'), Synset('hook.v.12')]"
72,"[Synset('number.n.01'), Synset('number.n.02'), Synset('act.n.04'), Synset('phone_number.n.01'), Synset('numeral.n.01'), Synset('issue.n.02'), Synset('number.n.07'), Synset('number.n.08'), Synset('number.n.09'), Synset('number.n.10'), Synset('number.n.11'), Synset('total.v.01'), Synset('number.v.02'), Synset('number.v.03'), Synset('count.v.05'), Synset('count.v.01'), Synset('number.v.06')]"
73,"[Synset('cooking.n.01'), Synset('cook.v.01'), Synset('cook.v.02'), Synset('cook.v.03'), Synset('fudge.v.01'), Synset('cook.v.05')]"
74,"[Synset('amaze.v.01'), Synset('perplex.v.01'), Synset('amazed.s.01')]"
75,"[Synset('collect.n.01'), Synset('roll_up.v.02'), Synset('collect.v.02'), Synset('gather.v.01'), Synset('collect.v.04'), Synset('collect.v.05'), Synset('collect.s.01'), Synset('collect.r.01')]"
76,"[Synset('local.n.01'), Synset('local_anesthetic.n.01'), Synset('local.a.01'), Synset('local.a.02'), Synset('local.a.03')]"
77,"[Synset('proper.a.01'), Synset('proper.s.02'), Synset('proper.s.03'), Synset('proper.s.04')]"
78,"[Synset('basement.n.01'), Synset('basement.n.02')]"
79,"[Synset('ripple.n.01'), Synset('ripple.n.02'), Synset('ripple.v.01'), Synset('ripple.v.02')]"
80,[Synset('feat.n.01')]
81,"[Synset('plumbing.n.01'), Synset('plumbing.n.02'), Synset('bathymetry.n.01'), Synset('plumb.v.01'), Synset('plumb.v.02'), Synset('plumb.v.03'), Synset('plumb.v.04')]"
82,"[Synset('stubborn.a.01'), Synset('refractory.s.01')]"
83,"[Synset('adrift.s.01'), Synset('adrift.s.02'), Synset('adrift.r.01'), Synset('adrift.r.02')]"
84,"[Synset('sweeten.v.01'), Synset('sweeten.v.02')]"
85,[Synset('neon.n.01')]
86,"[Synset('beeswax.n.01'), Synset('beeswax.v.01')]"
87,"[Synset('sociable.n.01'), Synset('social.a.01'), Synset('social.a.02'), Synset('social.a.03'), Synset('social.s.04'), Synset('social.s.05'), Synset('social.s.06')]"
88,[Synset('behold.v.01')]
89,"[Synset('mix.n.01'), Synset('mix.n.02'), Synset('mix.n.03'), Synset('blend.v.03'), Synset('desegregate.v.01'), Synset('mix.v.03'), Synset('mix.v.04'), Synset('mix.v.05'), Synset('shuffle.v.03')]"
90,"[Synset('baloney.n.01'), Synset('drool.n.02'), Synset('salivate.v.02'), Synset('drivel.v.01')]"
91,"[Synset('understand.v.01'), Synset('understand.v.02'), Synset('understand.v.03'), Synset('understand.v.04'), Synset('sympathize.v.02')]"
92,"[Synset('bring.v.01'), Synset('bring.v.02'), Synset('bring.v.03'), Synset('bring.v.04'), Synset('bring.v.05'), Synset('bring.v.06'), Synset('institute.v.02'), Synset('lend.v.01'), Synset('fetch.v.02'), Synset('bring.v.10'), Synset('bring.v.11')]"
93,"[Synset('sound.n.01'), Synset('sound.n.02'), Synset('sound.n.03'), Synset('sound.n.04'), Synset('audio.n.01'), Synset('phone.n.02'), Synset('strait.n.01'), Synset('sound.n.08'), Synset('sound.v.01'), Synset('sound.v.02'), Synset('sound.v.03'), Synset('sound.v.04'), Synset('voice.v.02'), Synset('sound.v.06'), Synset('fathom.v.02'), Synset('sound.a.01'), Synset('healthy.s.04'), Synset('sound.a.03'), Synset('good.s.17'), Synset('reasoned.s.01'), Synset('legal.s.03'), Synset('sound.s.07'), Synset('heavy.s.26'), Synset('sound.s.09')]"
94,"[Synset('bench.n.01'), Synset('terrace.n.02'), Synset('judiciary.n.01'), Synset('workbench.n.01'), Synset('bench.n.05'), Synset('bench.n.06'), Synset('bench.n.07'), Synset('bench.v.01'), Synset('bench.v.02')]"
95,[Synset('shrug.v.01')]
96,"[Synset('still.n.01'), Synset('hush.n.01'), Synset('still.n.03'), Synset('distillery.n.01'), Synset('calm.v.01'), Synset('hush.v.02'), Synset('still.v.03'), Synset('still.v.04'), Synset('inactive.s.10'), Synset('silent.s.01'), Synset('placid.s.01'), Synset('still.a.04'), Synset('still.a.05'), Synset('still.s.06'), Synset('still.r.01'), Synset('however.r.01'), Synset('even.r.03'), Synset('still.r.04')]"
97,"[Synset('buffoonery.n.01'), Synset('antic.n.01'), Synset('prank.v.01'), Synset('prank.v.02')]"
98,"[Synset('smile.v.01'), Synset('smile.v.02')]"
99,"[Synset('peach.n.01'), Synset('smasher.n.02'), Synset('peach.n.03'), Synset('yellowish_pink.n.01'), Synset('spill_the_beans.v.01')]"
100,"[Synset('pie.n.01'), Synset('proto-indo_european.n.01')]"
101,"[Synset('size.n.01'), Synset('size.n.02'), Synset('size.n.03'), Synset('size.n.04'), Synset('size.n.05'), Synset('size.v.01'), Synset('size.v.02'), Synset('size.v.03'), Synset('size.s.01')]"
102,"[Synset('hallway.n.01'), Synset('anteroom.n.01'), Synset('hall.n.03'), Synset('dormitory.n.01'), Synset('manor_hall.n.01'), Synset('hall.n.06'), Synset('hall.n.07'), Synset('hall.n.08'), Synset('hall.n.09'), Synset('hall.n.10'), Synset('mansion.n.02'), Synset('hall.n.12'), Synset('hall.n.13')]"
103,[Synset('jingle.v.01')]
104,"[Synset('chain.n.01'), Synset('chain.n.02'), Synset('chain.n.03'), Synset('chain.n.04'), Synset('chain.n.05'), Synset('chain.n.06'), Synset('chain.n.07'), Synset('range.n.04'), Synset('chain.n.09'), Synset('chain.n.10'), Synset('chain.v.01'), Synset('chain.v.02')]"
105,"[Synset('workhorse.n.01'), Synset('workhorse.n.02')]"
106,"[Synset('antenna.n.01'), Synset('antenna.n.02'), Synset('antenna.n.03')]"
107,"[Synset('honest.a.01'), Synset('honest.s.02'), Synset('dependable.s.02'), Synset('honest.s.04'), Synset('honest.s.05'), Synset('good.s.19'), Synset('honest.s.07')]"
108,"[Synset('bellow.n.01'), Synset('hollow.n.02'), Synset('holler.v.01'), Synset('shout.v.02'), Synset('gripe.v.01')]"
109,[Synset('billboard.n.01')]
110,"[Synset('chicken.n.01'), Synset('chicken.n.02'), Synset('wimp.n.01'), Synset('chicken.n.04'), Synset('chicken.s.01')]"
111,"[Synset('puppet.n.01'), Synset('creature.n.03'), Synset('puppet.n.03')]"
112,"[Synset('wait.v.01'), Synset('wait.v.02'), Synset('expect.v.03'), Synset('wait.v.04')]"
113,"[Synset('coating.n.02'), Synset('stopping_point.n.01'), Synset('polish.n.02'), Synset('finish.n.04'), Synset('finish.n.05'), Synset('finish.n.06'), Synset('ending.n.04'), Synset('finish.n.08'), Synset('finish.n.09'), Synset('complete.v.01'), Synset('finish_up.v.02'), Synset('end.v.01'), Synset('finish.v.04'), Synset('eat_up.v.01'), Synset('finish.v.06')]"
114,"[Synset('cheer.n.01'), Synset('cheerfulness.n.01'), Synset('cheer.v.01'), Synset('cheer.v.02'), Synset('cheer.v.03'), Synset('cheer.v.04'), Synset('cheer.v.05')]"
115,[Synset('tortuous.s.02')]
116,"[Synset('french_fries.n.01'), Synset('bit.n.02'), Synset('chip.n.02'), Synset('chip.n.03'), Synset('chip.n.04'), Synset('check.n.09'), Synset('chip.n.06'), Synset('chip.n.07'), Synset('chip.n.08'), Synset('chip.n.09'), Synset('chip.v.01'), Synset('nick.v.02'), Synset('chip.v.03'), Synset('chip.v.04'), Synset('chip.v.05')]"
117,"[Synset('scoop.n.01'), Synset('scoop.n.02'), Synset('exclusive.n.01'), Synset('soap.n.03'), Synset('scoop.n.05'), Synset('scoop.n.06'), Synset('scoop.v.01'), Synset('outdo.v.02')]"
118,"[Synset('wanderer.n.01'), Synset('rover.n.02')]"
119,"[Synset('forgive.v.01'), Synset('forgive.v.02')]"
120,"[Synset('ribbon.n.01'), Synset('decoration.n.02'), Synset('ribbon.n.03'), Synset('ribbon.n.04')]"
121,[Synset('shoo_off.v.01')]
122,"[Synset('avaricious.s.01'), Synset('avid.s.01'), Synset('greedy.s.03')]"
123,"[Synset('radio_beam.n.01'), Synset('beam.n.02'), Synset('beam.n.03'), Synset('beam.n.04'), Synset('beam.n.05'), Synset('beam.n.06'), Synset('balance_beam.n.01'), Synset('beam.v.01'), Synset('shine.v.02'), Synset('beam.v.03'), Synset('air.v.03'), Synset('glow.v.02'), Synset('glow.v.05')]"
124,"[Synset('crew.n.01'), Synset('gang.n.03'), Synset('crowd.n.02'), Synset('crew.n.04'), Synset('crew.v.01')]"
125,"[Synset('crate.n.01'), Synset('crate.n.02'), Synset('crate.v.01')]"
126,[Synset('hotel.n.01')]
127,"[Synset('stray.n.01'), Synset('roll.v.12'), Synset('stray.v.02'), Synset('digress.v.01'), Synset('isolated.s.01'), Synset('stray.s.02')]"
128,"[Synset('gallop.n.01'), Synset('gallop.v.01'), Synset('gallop.v.02'), Synset('gallop.v.03')]"
129,[Synset('dinosaur.n.01')]
130,"[Synset('ancient.n.01'), Synset('ancient.n.02'), Synset('ancient.s.01'), Synset('ancient.s.02')]"
131,"[Synset('tapestry.n.01'), Synset('tapestry.n.02'), Synset('tapestry.n.03')]"
132,"[Synset('delivery.n.01'), Synset('delivery.n.02'), Synset('manner_of_speaking.n.01'), Synset('delivery.n.04'), Synset('pitch.n.02'), Synset('rescue.n.01'), Synset('delivery.n.07')]"
133,[]
134,"[Synset('salamander.n.01'), Synset('salamander.n.02'), Synset('poker.n.01')]"
135,"[Synset('usual.a.01'), Synset('common.s.04')]"
136,"[Synset('challenge.n.01'), Synset('challenge.n.02'), Synset('challenge.n.03'), Synset('challenge.n.04'), Synset('challenge.n.05'), Synset('challenge.v.01'), Synset('challenge.v.02'), Synset('challenge.v.03'), Synset('challenge.v.04')]"
137,[Synset('cahoot.n.01')]
138,"[Synset('seepage.n.01'), Synset('seep.v.01'), Synset('exude.v.01'), Synset('oozing.s.01')]"
139,"[Synset('mars.n.01'), Synset('mars.n.02'), Synset('march.n.01'), Synset('blemish.n.01'), Synset('mar.v.01'), Synset('mutilate.v.03')]"
140,[Synset('pelican.n.01')]
141,[Synset('drastic.s.01')]
142,"[Synset('yoga.n.01'), Synset('yoga.n.02')]"
143,[Synset('burlap.n.01')]
144,[Synset('blazer.n.01')]
145,[Synset('trombone.n.01')]
146,"[Synset('shaking.n.02'), Synset('tremble.v.01'), Synset('shaky.s.02')]"
147,"[Synset('calm.v.01'), Synset('steady.v.01'), Synset('calm.v.03'), Synset('sedate.v.01')]"
148,"[Synset('police.n.01'), Synset('patrol.v.01')]"
149,"[Synset('certain.s.01'), Synset('certain.a.02'), Synset('certain.a.03'), Synset('certain.a.04'), Synset('sealed.a.01'), Synset('certain.s.06'), Synset('certain.s.07')]"
150,[Synset('barograph.n.01')]
151,"[Synset('char.v.01'), Synset('char.v.02')]"
152,[Synset('pakistan.n.01')]
153,"[Synset('pressure.n.01'), Synset('pressure.n.02'), Synset('press.n.09'), Synset('imperativeness.n.01'), Synset('pressure.n.05'), Synset('pressure.n.06'), Synset('atmospheric_pressure.n.01'), Synset('coerce.v.01'), Synset('blackmail.v.01')]"
154,"[Synset('surmise.v.01'), Synset('suspect.v.01')]"
155,"[Synset('teak.n.01'), Synset('teak.n.02')]"
156,"[Synset('theodolite.n.01'), Synset('transportation_system.n.01'), Synset('passage.n.05'), Synset('transit.v.01'), Synset('transit.v.02'), Synset('transit.v.03'), Synset('transit.v.04')]"
157,"[Synset('cannonade.n.01'), Synset('cannonade.v.01')]"
158,[Synset('appetite.n.01')]
159,[Synset('baggage.n.01')]
160,[Synset('rampart.n.01')]
161,"[Synset('vinyl.n.01'), Synset('vinyl.n.02')]"
162,[Synset('anemometer.n.01')]
163,"[Synset('dainty.n.01'), Synset('dainty.s.01'), Synset('dainty.s.02'), Synset('dainty.s.03'), Synset('dainty.s.04')]"
164,"[Synset('buckle.n.01'), Synset('warp.n.02'), Synset('buckle.v.01'), Synset('buckle.v.02'), Synset('heave.v.07')]"
165,[Synset('vividly.r.01')]
166,"[Synset('main.n.01'), Synset('brackish.s.02')]"
167,"[Synset('pavement.n.01'), Synset('paving.n.01'), Synset('sidewalk.n.01')]"
168,[Synset('garnet.n.01')]
169,"[Synset('furrow.n.01'), Synset('wrinkle.n.01'), Synset('furrow.v.01'), Synset('furrow.v.02'), Synset('furrow.v.03')]"
170,"[Synset('conurbation.n.01'), Synset('sprawl.n.02'), Synset('sprawl.v.01'), Synset('sprawl.v.02')]"
171,[Synset('museum.n.01')]
172,"[Synset('wren.n.01'), Synset('wren.n.02')]"
173,"[Synset('legend.n.01'), Synset('caption.n.03')]"
174,[Synset('transistor.n.01')]
175,"[Synset('magnify.v.01'), Synset('overstate.v.01'), Synset('inflate.v.01'), Synset('amplify.v.04')]"
176,"[Synset('security.n.01'), Synset('security.n.02'), Synset('security.n.03'), Synset('security.n.04'), Synset('security.n.05'), Synset('security.n.06'), Synset('security.n.07'), Synset('security_system.n.02'), Synset('security.n.09')]"
177,"[Synset('refrain.n.01'), Synset('refrain.v.01'), Synset('abstain.v.02')]"
178,"[Synset('tactics.n.01'), Synset('tactic.n.01'), Synset('tactic.n.01')]"
